Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,CoinedWord,Sender_Title,Closing_Remarks,Sender_Email,Label
Update Portal,"The Human Resources/Payroll Department has completed the final paystub
changes for 2017 tax year.
To view the changes to your paystub information and view/download your W-2
forms (2014 - 2016 tax years), go to: Adp Portal

We hope you find the changes to your paystub information useful and welcome
any comments you may have.",2020-01-09,13:31:49,Tue,ADP portal,"tax, update",No data provided,"Yours sincerely,",Director.sticsboyaca.gov.co,0.0
FedEx Shipment Update,"Dear Customer,

We could not deliver your item.

You can review and print complete details of shipping duty on your order.

Thanks",2017-01-03,1.41pm,Tue,PDF Attachment:  update_Form.pdf,"shipment, update",No data provided,Thanks,Xxxxxxberkeley.edu,0.0
ÃImportant Announcement from Chancellor Nicholas B. Dirks,"Good Morning Berkeley Family,

Please read attached for an important announcement from Chancellor Nicholas B. Dirks",2020-01-09,8:55 AM,Wed,1 attachment: shared Document.pdf,"important, chancellor",Chancellor,"Thanks,",Penweltmmiamioh.edu,0.0
Email Account Upgrade,"Dear User,

Someone else was trying to use your Berkeley ID to sign into iCloud via a web browser.

Date and Time: 28 October 2016, 1:38 PM
Browser: Firefox
Operating System: Windows
Location:Thailand


If the information above looks familiar, you can disregard this email.
If you have not recently and believe someone may be trying to access your account, you should Click Here <http://goo.gl/rk87KW>.",2020-01-09,4:38 PM,tue,http://example.com/PHISHING_TEST/row13,upgrade,Technical support team,"Sincerely,",Itcsshelpberkeley.edu,1.0
Irregular Activity,"From: BankOfAmerica
Subject: Irregular Activity
Date: 10/20/2016 7:27 AM

We have detected irregular activity on your account on the date 10/20/2016. For your protection, we have temporary limited your account.
In order to regain full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment , open it and follow the steps to verify your account. Once completed, please allow up to 48h to update.

Copyright Â© 2016 BankOfAmerica, All rights reserve

IrregularActivityFile.html
",2020-01-09,7:27 AM,tue,http://example.com/PHISHING_TEST/row14,"protection, update, irregular activity","Copyright  2016 bankofamerica, all rights reserve",No data provided,No data provided,1.0
Messages containing Locky malware,"Hello,

Please sign the attached contract with our technical service company for 2016 Ã° 2017.
We would appreciate your quick response.",2020-01-09,20:29:58,Wed,http://example.com/PHISHING_TEST/row15,financial,Digitalsignature f0a0e01386d19b03736165288026cc97e325560c78700e95,"King regards,",Curtis.8271brasiltelecom.net.br,1.0
Messages containing Locky malware,"Hi,

The monthly financial statement is attached within the email.
Please review it before processing.",2020-01-09,08:44:09,Wed,http://example.com/PHISHING_TEST/row16,financial,Topicid b0b82053c611db43b3a1a568c0660cd72365964cb8b04ed5,"King regards,",Curtis.8271brasiltelecom.net.br,1.0
Vital Info,"Hello,Ã Please refer to the vital info I've shared with you using Google Drive.Ã ClickÃhttps://www.google.com/drive/docs/file0116Ãand sign in to view details..",2020-01-09,2:56 PM,Mon,http://example.com/PHISHING_TEST/row17,vital,"Readmission representative
office of the registrar",Regard,No data provided,1.0
bCourses Phish Attack,"Dear User,

This message is to inform you that your access to bCourses will soon
expire.  You will have to log in to your account to continue to have access
to this service.

You need to reactivate it just by logging in through the following URL.  A
a successful login will activate your account, and you will be redirected to
your bCourses page.

http://bcourses.berkeley.cnea.gq/login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm/

If you are not able to login, please contact Mary Patel at mpatel@berkeley.edu(link sends e-mail) for immediate
assistance.",2020-01-09,1.41pm,tue,URL,"expire, access, ","Berkeley security
university of california, berkeley
5106436927",Sincerely,Mpatelberkeley.edu,0.0
Your account has been Iimited untiI we hear from you,"your account has been suspened , as an error was detected in your informations. The reason for the error is not certain, but for secuirty reasons, we have suspended your account temporarily.",2020-01-09,4:14 PM,tue,Update your information,suspended,No data provided,No data provided,Accesup.com,0.0
RE: Notice from @rescue.org,"Hello Everyone,
 
  There will be additional IT maintenance today between 10am Ã 11am. During this time, some IT systems and applications used by the IRC globally may be affected, and you may experience brief outages. Please upgrade your mailboxes (size to 20.0GB). by clicking IT SYSTEM AND MAINTENANCE.",2020-01-09,7:35 AM,tue,IT SYSTEM AND MAINTENANCE.,notice,No data provided,No data provided,Ashley.mathewrescue.org,0.0
Last Reminder You Must Update Your Apple Account Information!,"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",2020-01-09,01:32,tue, Verify Now ,"missing, incorrect,last remider",No data provided,No data provided,Appelsupport.com,0.0
Help DeskÂÃÃ Notice.,"We detected unknown IP access on our date base computer system our security requires you to verify your account for secure security kindly Click Here and verify your account. 
ÂÃÃ
Help DeskÂÃÃ",2016-03-04,4:00 PM,tue,Click Here ,"unknown, notice",Help desk,No data provided,Jjdoecapousd.org,0.0
Google Docs Download,You have a pending incoming download docs shared with you via Google docs,2020-01-09,5:45 AM,tue,http://example.com/PHISHING_TEST/row23,Download,No data provided,No data provided,Googlegoogledocss.com,1.0
2015 W-2 statement,"I need all our employee's reference copies of 2015 W-2 wages and tax
statement, i am working on a review and if you can work on the W2's and
have it sent to me as an attachment this morning that will be
splendid. Via email would be appropriate.",2020-01-09,8:17 AM,Mon,,"Tax, attachment",No data provided,Regards.,Presidentucop.edu,0.0
Your access has been disabled,"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",2020-01-09,4:33 PM,tue,http://example.com/PHISHING_TEST/row25,"disable account access, termination, ",No data provided,"Sincerely,",Noreplyappsupport.com,1.0
Dear Email User,"Your password will expire in 2 days, Click Here
to re-change your password immediately.",2016-02-09,5:38 PM,tue,http://example.com/PHISHING_TEST/row26,"expire, password, immidiately",It help desk,"Thank you,",Jdoeseedschoolmd.org,1.0
Help Desk / Password Update,Password will expire in 2 days ÃClick HereÃTo Validate E-mail,2016-02-02,5:01 AM,tue,http://example.com/PHISHING_TEST/row27,"expire, validate",Itservice help desk,"Thank you,",John.doemedford.k12.or.us,1.0
Record Update,"This is an urgent request to update your employment record at the U.S Department of Labor.

Update ",2020-01-09,1:57 PM,tue,UpdateÃ,"update, urgent,employment","U.s dept. of labor
frances perkins building, 
200 constitution ave., nw, 
washington, dc 20210",Thank you,Recordsdol.gov,0.0
Important Update,"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.",2020-01-09,2:58 PM,tue,http://example.com/PHISHING_TEST/row29,"update, IRS, TAX",Irs service,No data provided,Irsservices.com,1.0
DHL EXPRESS DOCUMENT,"Your parcel (shipping document) arrived at the post office. Here is your Shipping Document/Invoice and copy of DHL receipt for your tracking which includes the bill of lading and DHL tracking number, the new Import/Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.",2020-01-09,6:47 AM,tue,DHL_EXPRESS.pdf (34Kb) View | Download,"DHL, shipping",Dhl express,No data provided,Officekorloycompany.ro,0.0
IMPORTANT TAX RETURN DOCUMENT AVAILABLE,"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",2016-01-06,5:53:32 AM,tue,http://example.com/PHISHING_TEST/row31,"TAX, W2, important",No data provided,No data provided,Essw2berkeley.edu,1.0
"Re:
X-PHP-Originating-Script: 1336:NPS.php","Dear Dr. <recipient's name removed>;

I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to use in my current research:

1- http://auth.berkeley.eduh.in/<link removed>

2- http://www.sciencedirect.com/science/article/pii/S1644966515000825(link is external)

Thanks for you Cooperation in Advance.
John Doe
Department of Civil and Environmental Engineering University of Alberta
Phone: (XXX) XXX-XXXX
--21878cacb2d3a784678d12d61f1136d7--",2016-01-02,Ã09:58:07 GMT,Sat,URL,research,Department of civil and environmental engineering university of alberta,Thanks for you cooperation in advance.,John.doeulberta.ca,0.0
Your account on the verge of closure !!,"Dear Client, Recently your account was reviewed and flagged because of a potential connection to some fraudulent transaction. To avoid an eventual restriction to your account, please verify your informations by logging in to our Litigations Manager.",2020-01-09,5:47 AM,tue,check my account,"fraudulent, transaction",No data provided,No data provided,Supportppl.com,0.0
ÃURGENT: Your New Salary Notification,"Hello, You have an important email from the Human Resources Department with regards to your December 2015 Paycheck

This email is enclosed in the Marquette University secure network, hence access it below

Access the documents here <http://gabrielramon.be/<link removed>

***Ensure your login credentials are correct to avoid cancellations**

Faithfully
Human Resources
University of California, Berkeley",2015-12-10,7:22 AM,"Thu,",URL,URGENT,"Human resources
university of california, berkeley",Faithfully,Hrberkeley.edu,0.0
REQUEST,"Hi, a quick message before it skips my mind again. I need you to purchase some gift cards from the store today. We intend to reward some staffs with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce it.",2020-01-09,5.22.48PM EDT,tue,http://example.com/PHISHING_TEST/row35,"Request, gift card",No data provided,No data provided,No data provided,1.0
Lesson Coach Needed,Some hiring stuffs for coach,2020-01-09,12.50pm,Tue,http://example.com/PHISHING_TEST/row36,"Needed, employment hire",Colman,Regard,Y,1.0
"Caller from Kent Admin on 16 July, 2019",call missed,2020-01-09,5.12pm,Tue,http://example.com/PHISHING_TEST/row37,hiring,Kent support,Regrads,Y,1.0
REPLY AS SOON AS POSSIBLE,"Bank, important matter to discuss with late client who is dead. Asking for full detail information",2020-01-09,11.33am,sun,http://example.com/PHISHING_TEST/row38,important,No data provided,Regards,Y,1.0
V M 123310719,call missed,2020-01-09,3.29pm,wed,http://example.com/PHISHING_TEST/row39,missed call,No data provided,No data provided,Y,1.0
inviting you to collaborate on filess,some shred document,2020-01-09,7.56pm,wed,http://example.com/PHISHING_TEST/row40,shared,No data provided,No data provided,No data provided,1.0
VM Message attached,call missed,2020-01-09,12.37pm,tue,http://example.com/PHISHING_TEST/row41,missed call,No data provided,No data provided,No data provided,1.0
ÃVerification Process.,"account verification, microsoft account in kent",2020-01-09,8.55am,mon,http://example.com/PHISHING_TEST/row42,"verification, access",No data provided,Cheers,Y,1.0
Audio received,audio,2019-07-08,2.09 pm,mon,http://example.com/PHISHING_TEST/row43,audio,Kent support,No data provided,No data provided,1.0
I AM ASKING FOR YOUR SUPPORT.,Someone lost lifr in Libyan civil war. Help kin,2020-01-09,3.18PM,Fri,http://example.com/PHISHING_TEST/row44,support,No data provided,No data provided,No data provided,1.0
"shared ""DOCX"" with you.",shared docx,2020-01-09,11.55.54 AM,tue,http://example.com/PHISHING_TEST/row45,shared,No data provided,No data provided,No data provided,1.0
File has been damaged,shared docx,2020-01-09,4.56am,thur,http://example.com/PHISHING_TEST/row46,damaged,No data provided,No data provided,No data provided,1.0
Kent-Outlook E-Ticket:#JKf1SB3YW5 for @k****edu.,"confirm with microsift, account",2020-01-09,1.44am,tue,http://example.com/PHISHING_TEST/row47,confirm,No data provided,No data provided,No data provided,1.0
Faculty Evaluation.docx,faculty evaluation,2020-01-09,10.49am,tue,http://example.com/PHISHING_TEST/row48,evaluation,Its service,No data provided,No data provided,1.0
Missed Call,called missed,2020-01-09,1.54pm,fri,http://example.com/PHISHING_TEST/row49,,No data provided,No data provided,No data provided,1.0
TESTi1,"english speaking editor, professional guide, correcting",2020-01-09,5.24.03om EDT,tue,http://example.com/PHISHING_TEST/row50,"editor, service",No data provided,"Best regards,",No data provided,1.0
ÃClustered Alert ID 130423046,some pending message,2020-01-09,11.39am,thur,http://example.com/PHISHING_TEST/row51,alert,No data provided,"Best regards,",Y,1.0
Approved Job Offer,selected for shadow shopper review,2020-01-09,11.39am,thur,http://example.com/PHISHING_TEST/row52,"approve, offer, ",No data provided,Warm regards,No data provided,1.0
"Agriculture Department shared ""Document"" with you.",internal dept shared document,2020-01-09,10.24.01 am,thur,http://example.com/PHISHING_TEST/row53,"shared, document",No data provided,No data provided,No data provided,1.0
Advertise While Driving Your Car,job opportuniies and looking for candidate,2020-01-09,1.27pm,wed,http://example.com/PHISHING_TEST/row54,"hiring, ",No data provided,No data provided,No data provided,1.0
Payroll Changes made was successful,chnages in payroll information,2020-01-09,4.19pm,mon,http://example.com/PHISHING_TEST/row55,"payroll, changes, access, authenticated",No data provided,Thank you,No data provided,1.0
Office 6/17/2019 11:56:18 AM,office 465 subscription exrired and. Validation stuff,2020-01-09,5.57am,mon,http://example.com/PHISHING_TEST/row56,"expire, request,subscritption, validation",No data provided,No data provided,No data provided,1.0
 Office 365 Password About To Expire,office 465 subscription exrired and. Validation stuff,2020-01-09,8.08pm,mon,http://example.com/PHISHING_TEST/row57,"expire, password, subscription, hold",Office 365 customer service,Thank you,Y,1.0
Information.docx,file has been shared In docx,2020-01-09,11.50am,mon,http://example.com/PHISHING_TEST/row58,"file, share,docx",No data provided,No data provided,No data provided,1.0
"Assalamualaikum My Dear Friend,","politiics, legal iisues to retire , million doller to bank, profit",2020-01-09,3.11pm,mon,http://example.com/PHISHING_TEST/row59,"profit, bank, dollar, million, confirmation",No data provided,Thank with my best regards,No data provided,1.0
ÃYou have (15) notification message from your faculty admin,notification message from faculty admin,2020-01-09,11.59am,fri,http://example.com/PHISHING_TEST/row60,"notification, admin, faculty",Y,Thanks,Y,1.0
 Verification Required: Validate Service Request for Kent,email update required and confirm now,2020-01-09,1.06pm,thur,http://example.com/PHISHING_TEST/row61,"update, required, confirm, disable, suspense, ",Y,Thanks,Y,1.0
"Account Activity Request on 13 June, 2019",ms account activation and validation ,2020-01-09,12.50pm,thur,http://example.com/PHISHING_TEST/row62,"activation, validate, immidiate, request",Y,Regrads,Y,1.0
Audio_Message from ext. 4783,audio,2020-01-09,11.16am,wed,http://example.com/PHISHING_TEST/row63,,Y,No data provided,Y,1.0
kent.edu Email Deactivation Request,made request to deactivate your account ,2020-01-09,10.50om,tue,http://example.com/PHISHING_TEST/row64,"deactivate,request",Y,Thanking you,Y,1.0
ÃMissed Call,caller left a message for you,2020-01-09,1.12 PM,tue,http://example.com/PHISHING_TEST/row65,message,No data provided,No data provided,No data provided,1.0
I BRING CALVARY GREETNG FROM MRS.SUZAN BONI.,money for cancer diagnosied,2020-01-09,8.35am,tue,http://example.com/PHISHING_TEST/row66,"cancer, diseases, ",No data provided,No data provided,No data provided,1.0
please update ppayment,"update payment  and payment declined, ",2020-01-09,8.50am,mon,http://example.com/PHISHING_TEST/row67,"decline, update, payment, failed",Y,S.incerely,Y,1.0
Work Code of Conduct,work conduct for employee in an institution,2020-01-09,7.36pm,mon,http://example.com/PHISHING_TEST/row68,"HR, code, employment",Y,"Regards,",Y,1.0
Incoming Email issues,email issues from office 365,2020-01-09,7.48am,mon,http://example.com/PHISHING_TEST/row69,"issues, email, account,recover, hold",Y,Sincerely,Y,1.0
ÃYour PayPal Payment Receipt of $649.99 to **MCAFEE LLC,"statement of payment , transaction details and log into PayPal account  ",2020-01-09,8.39.55am EDT,tue,http://example.com/PHISHING_TEST/row70,"transaction, payment, account",Y,No data provided,Y,1.0
Pet Sitter Needed,"I need someone to look after my pet, $350 weekly",2020-01-09,5.53 pm,wed,http://example.com/PHISHING_TEST/row71,"needed, ad, ",Y,"Thanks,",Y,1.0
lncoming emails rejected,offi e 365 was unable to deliver ,2020-01-09,1.34pm,fri,http://example.com/PHISHING_TEST/row72,"rejected, unable,",Y,No data provided,Y,1.0
Update ID: Review Message,need to validate account ,2020-01-09,7.40om GMT,tue,http://example.com/PHISHING_TEST/row73,"validate, request,update",Y,No data provided,Y,1.0
We Need Your Confirmation,fund in office that we like to make some clarification,2020-01-09,7.42.13 am,wed,http://example.com/PHISHING_TEST/row74,"confirmation, ",Y,Yours in servic,Y,1.0
Email Security Alert,email storage exceeded the limit and need to upgrade immidiately. ,2020-01-09,8.36 am,wed,http://example.com/PHISHING_TEST/row75,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,No data provided,Y,1.0
Doc___gn Received : ScannedAgreementDOC012.Pdf,doc shared,2020-01-09,3.30pm,tue,http://example.com/PHISHING_TEST/row76,shared,Y,"Thank you,",Y,1.0
Employment Opportunity,"personal assistant, employment opportunity",2020-01-09,8.17pm,mon,http://example.com/PHISHING_TEST/row77,"employment, immidiately",Y,Thank you,Y,1.0
Puppy Sitter:,need puppy sitter ,2020-01-09,7.47am,thur,http://example.com/PHISHING_TEST/row78,"employment, ",Y,No data provided,Y,1.0
Payment receipt,remittance advice for payment ,2020-01-09,12.20pm,thur,http://example.com/PHISHING_TEST/row79,payment,Y,No data provided,Y,1.0
ÃBusiness/Partnership,deal and interest in business,2020-01-09,1.13am,fri,http://example.com/PHISHING_TEST/row80,benefits,Y,Sincerely,Y,1.0
SCAN5655,shared file,2020-01-09,12.00pm,thur,http://example.com/PHISHING_TEST/row81,share,Y,No data provided,Y,1.0
FW: Action Required: Update your payment information now,payment against office 365 subscription was failed,2020-01-09,9.04pm,wed,http://example.com/PHISHING_TEST/row82,"failed, subscription, payment,admin, update,remove,request",Y,Regards,Y,1.0
ÃFW: Action Required: Update your payment information now,payment declined for office 365,2020-01-09,7.52pm,wed,http://example.com/PHISHING_TEST/row83,"update, declined, payment, ",No data provided,"Sincerely,",No data provided,1.0
Due Invoice 10355697 From Cortland Line Company,"file shared about invoices , financial",2020-01-09,12.04 pm,mon,http://example.com/PHISHING_TEST/row84,"invoice, payment",Y,No data provided,No data provided,1.0
Help,"donating, lottery winner",2020-01-09,1.30 am,tue,http://example.com/PHISHING_TEST/row85,"pay, money",Y,No data provided,Y,1.0
KSU Email Notification,email notification regarding fedaral law violation and identity and verification,2020-01-09,6.09PM,Fri,http://example.com/PHISHING_TEST/row86,"verificationerror, violates, ",Y,"Sincerely,",Y,1.0
"ÃDear Web-mail User,","remail pending for database upgrade, validate emial account",2020-01-09,6.39PM,fri,http://example.com/PHISHING_TEST/row87,"validate, required, upgrade, ",Y,Thanks,Y,1.0
Remittance Payment Advice,attched payment details,2020-01-09,12.42pm,thur,http://example.com/PHISHING_TEST/row88,payment,No data provided,Regards,No data provided,1.0
Nancy Smith is inviting you to collaborate on Project Docs,Project docs,2020-01-09,11.15.53am,thur,http://example.com/PHISHING_TEST/row89,"project, education",No data provided,Thanks,No data provided,1.0
Project LR342 Quote Request,"project work share, collaboration",2020-01-09,7.14am,wed,http://example.com/PHISHING_TEST/row90,"peoject, education, request",No data provided,No data provided,No data provided,1.0
ÃPet Sitter Job,job pet sitter,2020-01-09,11.53am,wed,http://example.com/PHISHING_TEST/row91,employment,No data provided,No data provided,No data provided,1.0
"Kent Validation Request on May 01, 2019, 03:00 AM","secuirty update, recommend to validate",2020-01-09,03.00am,wed,http://example.com/PHISHING_TEST/row92,"security, validate, request",Y,Regards,Y,1.0
(1) Your account has been limited. ID: #R5131.6D9R406MH,office account has limited for payment failing,2020-01-09,5.12.30pm,tue,http://example.com/PHISHING_TEST/row93,"limited, validate, account,failed,transaction",Y,"Best regards,",Y,1.0
ADVICE OF DEBIT - BANK CONFIDENTIAL,schedule payment in bank in personal checkin account,2020-01-09,12.03pm,mon,http://example.com/PHISHING_TEST/row94,"payment,account, confidential",Y,"Respectfully yours,",Y,1.0
Message - Time 0:55 Seconds,ausio attached with link,2020-01-09,1.23,fri,http://example.com/PHISHING_TEST/row95,,Y,No data provided,Y,1.0
ÃKent Admin #O38A3S#,mandatory account review process,2020-01-09,2.37pm,Fri,http://example.com/PHISHING_TEST/row96,"mandatory, acount, require, admin, incorrect",Y,No data provided,Y,1.0
Invoice for Service,invoiced for completed work,2020-01-09,12.00pm,fri,http://example.com/PHISHING_TEST/row97,"invoice, payment",Y,No data provided,Y,1.0
P_nd_ng Document,onedrive pending doc,2020-01-09,10.20am,thur,http://example.com/PHISHING_TEST/row98,document,Y,No data provided,Y,1.0
Ã[IMPORTANCE] Login Review Required On Kent Email Account,verify password for login interruption,2020-01-09,10.15.29am EDT,tue,http://example.com/PHISHING_TEST/row99,"verify, account,interruption",Y,No data provided,Y,1.0
ÃPaperWorks,document sharepoint,2020-01-09,2.41pm,tue,http://example.com/PHISHING_TEST/row100,"share, education, ",Y,"Sincerely,",No data provided,1.0
"Kent Request Created on 23 April, 2019 ID: #5KGI6T#","Due to request, you created ID, we need to validate ",2020-01-09,10.57am,Tue,http://example.com/PHISHING_TEST/row101,"validate, request,",Y,No data provided,Y,1.0
RE: You're about to lose access to your Office subscription,subscription offcie 365,2020-01-09,2.03am edt,tue,http://example.com/PHISHING_TEST/row102,"subscription, disable, access, admin, payment",Y,No data provided,Y,1.0
(1) Failed to process your Credit Card,credir card process failure,2020-01-09,5.56pm,wed,http://example.com/PHISHING_TEST/row103,"finance, payment, transaction, invoice, failed, ",Y,"Best regards,",Y,1.0
Easiest way to claim $1000?,clain money by watching videos,2020-01-09,12.47pm EDT,tue,http://example.com/PHISHING_TEST/row104,"clain, money, ",No data provided,No data provided,No data provided,1.0
The Dwyer Group N0TlFlCATl0N,shared document,2020-01-09,11.55am,tue,http://example.com/PHISHING_TEST/row105,"notification, share",Y,No data provided,Y,1.0
"ÃJason Downing shared ""Proposal_(1)"" with you.",doc shared,2020-01-09,12.52pm,tue,http://example.com/PHISHING_TEST/row106,"share, doc, education",Y,No data provided,Y,1.0
"Kent Service U_d_t_ 15 April, 2019 RefID:XYO2OH",validating account,2020-01-09,3.22pm,tue,http://example.com/PHISHING_TEST/row107,"share, validate, account, deactivate",Y,No data provided,Y,1.0
ÃKent Request Created,validating email account,2020-01-09,4.23am,tue,http://example.com/PHISHING_TEST/row108,"validate, account, request",Y,No data provided,Y,1.0
NEED URGENT QUOTE,cargo need to shio from your country to china asap,2020-01-09,5.10am,mon,http://example.com/PHISHING_TEST/row109,urgent,No data provided,No data provided,No data provided,1.0
Payroll,attached document for payroll,2020-01-09,7.17pm,thur,http://example.com/PHISHING_TEST/row110,"tax, payroll, doc",Y,No data provided,Y,1.0
ÃCoaching service,coaching service available ,2020-01-09,11.30am,wed,,service,Y,Thanks,Y,11.0
MESSAGE ALERT,doc and audio ,2020-01-09,10.22am,wed,http://example.com/PHISHING_TEST/row112,"doc, share, alert",Y,No data provided,Y,1.0
A document has been sent to you via eÃ_x Online,Document sent online,2020-01-09,11.35am,tue,http://example.com/PHISHING_TEST/row113,"share, sent, access, document",No data provided,No data provided,No data provided,1.0
ÃInitial Closing Disclosure - Escrow #7258300 / 3061 Vaughn Street,encrypted message,2020-01-09,2.28pm,tue,http://example.com/PHISHING_TEST/row114,encrypted,No data provided,No data provided,No data provided,1.0
Server Notification for Kent Alert,server detect undelivered emals. Malfucntions and termination,2020-01-09,5.55am,mon,http://example.com/PHISHING_TEST/row115,"active, termination, alert, notification, required, malfunction",Y,No data provided,Y,1.0
message notification,pdf ,2020-01-09,8.16pm,mon,http://example.com/PHISHING_TEST/row116,"notification, share, invoice, admin",Y,No data provided,Y,1.0
"[IMPORTANCE] Password Confirmation Required On kent.edu April 5, 2019, 7:29 PM Report Refrence Acc ID :35878U9LC8","one time confirmation, avoid login interruption, password verification",2020-01-09,3.29pm,fri,http://example.com/PHISHING_TEST/row117,"verification, interrution, account, required, avoid, confirmation",Y,No data provided,Y,1.0
ÃMarch Statement - Kent,payroll has been submitteed. ,2020-01-09,5.18pm,fri,http://example.com/PHISHING_TEST/row118,"payroll, statement, admin",Y,No data provided,Y,1.0
ÃRE: Your Office 365 Business Essentials Bill is ready,"office365 is ready. Payment, credit card",2020-01-09,11.46am,thur,http://example.com/PHISHING_TEST/row119,"account, payment,",Y,Thank you,Y,1.0
